source,output,name,description,needs_review,review_reason
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_095027.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_095027.webp,20260728_095027,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_102951.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_102951.webp,20260728_102951,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103003.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103003.webp,20260728_103003,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103028.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103028.webp,20260728_103028,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103036.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103036.webp,20260728_103036,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103049.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103049.webp,20260728_103049,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103056.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103056.webp,20260728_103056,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103105.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103105.webp,20260728_103105,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103112.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103112.webp,20260728_103112,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103121.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103121.webp,20260728_103121,,True,Exact card name and full description not reliably extracted.
